Borewell_ID,Year,Month,Day,Rainfall_mm,GW_Level_m,Prev_Day_GW,Prev_7Day_GW,temperature,latitude,longitude
borewell_1,2020,4,18,4.09,9.1,9.082,9.006,28.7,13.0827,80.2707
borewell_1,2020,4,19,3.81,9.122,9.1,9.016,29.0,13.0827,80.2707
borewell_1,2020,4,20,1.54,9.117,9.122,9.029,27.6,13.0827,80.2707
borewell_1,2020,4,21,2.98,9.119,9.117,9.044,29.5,13.0827,80.2707
borewell_1,2020,4,22,4.48,9.149,9.119,9.082,31.2,13.0827,80.2707
borewell_1,2020,4,23,2.22,9.153,9.149,9.091,35.7,13.0827,80.2707
borewell_1,2020,4,24,3.42,9.162,9.153,9.082,30.5,13.0827,80.2707
borewell_1,2020,4,25,3.15,9.179,9.162,9.1,30.8,13.0827,80.2707
borewell_1,2020,4,26,3.93,9.207,9.179,9.122,29.8,13.0827,80.2707
borewell_1,2020,4,27,4.14,9.232,9.207,9.117,24.2,13.0827,80.2707
borewell_1,2020,4,28,1.45,9.234,9.232,9.119,29.9,13.0827,80.2707
borewell_1,2020,4,29,3.14,9.236,9.234,9.149,30.2,13.0827,80.2707
borewell_1,2020,4,30,4.23,9.252,9.236,9.153,36.0,13.0827,80.2707
borewell_1,2020,5,1,4.46,9.274,9.252,9.162,29.4,13.0827,80.2707
borewell_1,2020,5,2,0.5,9.252,9.274,9.179,30.9,13.0827,80.2707
borewell_1,2020,5,3,1.55,9.241,9.252,9.207,29.9,13.0827,80.2707
borewell_1,2020,5,4,2.71,9.255,9.241,9.232,26.5,13.0827,80.2707
borewell_1,2020,5,5,4.48,9.272,9.255,9.234,33.4,13.0827,80.2707
borewell_1,2020,5,6,2.79,9.279,9.272,9.236,32.3,13.0827,80.2707
borewell_1,2020,5,7,0.18,9.254,9.279,9.252,32.4,13.0827,80.2707
borewell_1,2020,5,8,2.81,9.255,9.254,9.274,27.3,13.0827,80.2707
borewell_1,2020,5,9,2.99,9.268,9.255,9.252,34.2,13.0827,80.2707
borewell_1,2020,5,10,4.93,9.305,9.268,9.241,25.8,13.0827,80.2707
borewell_1,2020,5,11,0.26,9.293,9.305,9.255,31.8,13.0827,80.2707
borewell_1,2020,5,12,1.85,9.293,9.293,9.272,36.0,13.0827,80.2707
borewell_1,2020,5,13,4.38,9.311,9.293,9.279,27.0,13.0827,80.2707
borewell_1,2020,5,14,4.44,9.328,9.311,9.254,28.3,13.0827,80.2707
borewell_1,2020,5,15,1.65,9.334,9.328,9.255,30.3,13.0827,80.2707
borewell_1,2020,5,16,1.23,9.326,9.334,9.268,28.5,13.0827,80.2707
borewell_1,2020,5,17,2.03,9.328,9.326,9.305,25.3,13.0827,80.2707
borewell_1,2020,5,18,1.49,9.329,9.328,9.293,30.2,13.0827,80.2707
borewell_1,2020,5,19,0.82,9.325,9.329,9.293,26.8,13.0827,80.2707
borewell_1,2020,5,20,0.67,9.315,9.325,9.311,31.4,13.0827,80.2707
borewell_1,2020,5,21,2.65,9.312,9.315,9.328,27.2,13.0827,80.2707
borewell_1,2020,5,22,4.65,9.342,9.312,9.334,34.6,13.0827,80.2707
borewell_1,2020,5,23,3.66,9.358,9.342,9.326,27.7,13.0827,80.2707
borewell_1,2020,5,24,0.46,9.339,9.358,9.328,29.0,13.0827,80.2707
borewell_1,2020,5,25,0.75,9.329,9.339,9.329,32.4,13.0827,80.2707
borewell_1,2020,5,26,0.26,9.302,9.329,9.325,26.3,13.0827,80.2707
borewell_1,2020,5,27,4.74,9.321,9.302,9.315,30.7,13.0827,80.2707
borewell_1,2020,5,28,2.54,9.331,9.321,9.312,33.9,13.0827,80.2707
borewell_1,2020,5,29,1.07,9.322,9.331,9.342,25.2,13.0827,80.2707
borewell_1,2020,5,30,4.69,9.353,9.322,9.358,30.6,13.0827,80.2707
borewell_1,2020,5,31,0.03,9.337,9.353,9.339,30.8,13.0827,80.2707
borewell_1,2020,6,1,6.67,9.393,9.337,9.329,32.3,13.0827,80.2707
borewell_1,2020,6,2,23.87,9.61,9.393,9.302,26.3,13.0827,80.2707
borewell_1,2020,6,3,33.81,9.928,9.61,9.321,26.0,13.0827,80.2707
borewell_1,2020,6,4,18.95,10.106,9.928,9.331,31.6,13.0827,80.2707
borewell_1,2020,6,5,35.42,10.445,10.106,9.322,30.9,13.0827,80.2707
borewell_1,2020,6,6,30.12,10.718,10.445,9.353,30.8,13.0827,80.2707
borewell_1,2020,6,7,15.45,10.857,10.718,9.337,31.0,13.0827,80.2707
borewell_1,2020,6,8,22.68,11.071,10.857,9.393,28.0,13.0827,80.2707
borewell_1,2020,6,9,13.32,11.185,11.071,9.61,30.7,13.0827,80.2707
borewell_1,2020,6,10,18.1,11.336,11.185,9.928,30.9,13.0827,80.2707
borewell_1,2020,6,11,11.85,11.44,11.336,10.106,27.9,13.0827,80.2707
borewell_1,2020,6,12,8.62,11.502,11.44,10.445,35.6,13.0827,80.2707
borewell_1,2020,6,13,37.73,11.855,11.502,10.718,31.4,13.0827,80.2707
borewell_1,2020,6,14,36.25,12.202,11.855,10.857,26.4,13.0827,80.2707
borewell_1,2020,6,15,6.37,12.241,12.202,11.071,32.0,13.0827,80.2707
borewell_1,2020,6,16,6.82,12.292,12.241,11.185,27.1,13.0827,80.2707
borewell_1,2020,6,17,5.31,12.323,12.292,11.336,32.4,13.0827,80.2707
borewell_1,2020,6,18,10.8,12.408,12.323,11.44,33.5,13.0827,80.2707
borewell_1,2020,6,19,38.35,12.771,12.408,11.502,27.5,13.0827,80.2707
borewell_1,2020,6,20,28.01,13.039,12.771,11.855,32.9,13.0827,80.2707
borewell_1,2020,6,21,8.85,13.101,13.039,12.202,31.2,13.0827,80.2707
borewell_1,2020,6,22,36.99,13.454,13.101,12.241,32.5,13.0827,80.2707
borewell_1,2020,6,23,24.12,13.682,13.454,12.292,35.7,13.0827,80.2707
borewell_1,2020,6,24,30.92,13.98,13.682,12.323,29.3,13.0827,80.2707
borewell_1,2020,6,25,22.94,14.188,13.98,12.408,27.7,13.0827,80.2707
borewell_1,2020,6,26,30.72,14.472,14.188,12.771,27.3,13.0827,80.2707
borewell_1,2020,6,27,34.15,14.803,14.472,13.039,27.6,13.0827,80.2707
borewell_1,2020,6,28,33.27,15.0,14.803,13.101,29.8,13.0827,80.2707
borewell_1,2020,6,29,10.63,15.0,15.0,13.454,31.0,13.0827,80.2707
borewell_1,2020,6,30,33.28,15.0,15.0,13.682,30.8,13.0827,80.2707
borewell_1,2020,7,1,38.77,15.0,15.0,13.98,32.5,13.0827,80.2707
borewell_1,2020,7,2,13.25,15.0,15.0,14.188,30.0,13.0827,80.2707
borewell_1,2020,7,3,23.88,15.0,15.0,14.472,34.4,13.0827,80.2707
borewell_1,2020,7,4,17.48,15.0,15.0,14.803,29.2,13.0827,80.2707
borewell_1,2020,7,5,14.61,15.0,15.0,15.0,36.0,13.0827,80.2707
borewell_1,2020,7,6,21.51,15.0,15.0,15.0,31.9,13.0827,80.2707
borewell_1,2020,7,7,20.74,15.0,15.0,15.0,27.4,13.0827,80.2707
borewell_1,2020,7,8,11.27,15.0,15.0,15.0,26.8,13.0827,80.2707
borewell_1,2020,7,9,27.55,15.0,15.0,15.0,31.4,13.0827,80.2707
borewell_1,2020,7,10,21.48,15.0,15.0,15.0,29.3,13.0827,80.2707
borewell_1,2020,7,11,16.99,15.0,15.0,15.0,32.1,13.0827,80.2707
borewell_1,2020,7,12,34.41,15.0,15.0,15.0,31.4,13.0827,80.2707
borewell_1,2020,7,13,39.65,15.0,15.0,15.0,29.8,13.0827,80.2707
borewell_1,2020,7,14,22.53,15.0,15.0,15.0,27.5,13.0827,80.2707
borewell_1,2020,7,15,19.83,15.0,15.0,15.0,25.5,13.0827,80.2707
borewell_1,2020,7,16,14.62,15.0,15.0,15.0,28.7,13.0827,80.2707
borewell_1,2020,7,17,23.97,15.0,15.0,15.0,32.6,13.0827,80.2707
borewell_1,2020,7,18,20.3,15.0,15.0,15.0,30.6,13.0827,80.2707
borewell_1,2020,7,19,33.25,15.0,15.0,15.0,26.3,13.0827,80.2707
borewell_1,2020,7,20,17.31,15.0,15.0,15.0,30.5,13.0827,80.2707
borewell_1,2020,7,21,39.34,15.0,15.0,15.0,31.2,13.0827,80.2707
borewell_1,2020,7,22,36.12,15.0,15.0,15.0,27.3,13.0827,80.2707
borewell_1,2020,7,23,12.85,15.0,15.0,15.0,30.5,13.0827,80.2707
borewell_1,2020,7,24,24.93,15.0,15.0,15.0,30.2,13.0827,80.2707
borewell_1,2020,7,25,38.27,15.0,15.0,15.0,26.6,13.0827,80.2707
borewell_1,2020,7,26,14.84,15.0,15.0,15.0,31.1,13.0827,80.2707
borewell_1,2020,7,27,22.07,15.0,15.0,15.0,31.7,13.0827,80.2707
borewell_1,2020,7,28,27.98,15.0,15.0,15.0,33.2,13.0827,80.2707
borewell_1,2020,7,29,27.62,15.0,15.0,15.0,33.2,13.0827,80.2707
borewell_1,2020,7,30,37.03,15.0,15.0,15.0,25.9,13.0827,80.2707
borewell_1,2020,7,31,37.28,15.0,15.0,15.0,27.2,13.0827,80.2707
borewell_1,2020,8,1,6.7,15.0,15.0,15.0,31.5,13.0827,80.2707
borewell_1,2020,8,2,14.49,15.0,15.0,15.0,31.5,13.0827,80.2707
borewell_1,2020,8,3,21.05,15.0,15.0,15.0,31.5,13.0827,80.2707
borewell_1,2020,8,4,26.18,15.0,15.0,15.0,36.0,13.0827,80.2707
borewell_1,2020,8,5,18.1,15.0,15.0,15.0,31.7,13.0827,80.2707
borewell_1,2020,8,6,33.78,15.0,15.0,15.0,33.4,13.0827,80.2707
borewell_1,2020,8,7,13.7,15.0,15.0,15.0,32.9,13.0827,80.2707
borewell_1,2020,8,8,12.59,15.0,15.0,15.0,32.0,13.0827,80.2707
borewell_1,2020,8,9,12.83,15.0,15.0,15.0,29.1,13.0827,80.2707
borewell_1,2020,8,10,37.76,15.0,15.0,15.0,32.3,13.0827,80.2707
borewell_1,2020,8,11,8.47,15.0,15.0,15.0,27.7,13.0827,80.2707
borewell_1,2020,8,12,19.45,15.0,15.0,15.0,29.3,13.0827,80.2707
borewell_1,2020,8,13,18.53,15.0,15.0,15.0,28.5,13.0827,80.2707
borewell_1,2020,8,14,17.06,15.0,15.0,15.0,30.2,13.0827,80.2707
borewell_1,2020,8,15,35.17,15.0,15.0,15.0,36.0,13.0827,80.2707
borewell_1,2020,8,16,19.39,15.0,15.0,15.0,24.4,13.0827,80.2707
borewell_1,2020,8,17,23.19,15.0,15.0,15.0,32.1,13.0827,80.2707
borewell_1,2020,8,18,17.86,15.0,15.0,15.0,25.2,13.0827,80.2707
borewell_1,2020,8,19,39.49,15.0,15.0,15.0,28.6,13.0827,80.2707
borewell_1,2020,8,20,33.97,15.0,15.0,15.0,33.3,13.0827,80.2707
borewell_1,2020,8,21,22.65,15.0,15.0,15.0,30.2,13.0827,80.2707
borewell_1,2020,8,22,8.11,15.0,15.0,15.0,26.8,13.0827,80.2707
borewell_1,2020,8,23,7.6,15.0,15.0,15.0,27.9,13.0827,80.2707
borewell_1,2020,8,24,32.96,15.0,15.0,15.0,32.0,13.0827,80.2707
borewell_1,2020,8,25,29.45,15.0,15.0,15.0,27.8,13.0827,80.2707
borewell_1,2020,8,26,10.74,15.0,15.0,15.0,30.6,13.0827,80.2707
borewell_1,2020,8,27,8.41,15.0,15.0,15.0,30.1,13.0827,80.2707
borewell_1,2020,8,28,38.61,15.0,15.0,15.0,28.0,13.0827,80.2707
borewell_1,2020,8,29,12.15,15.0,15.0,15.0,36.0,13.0827,80.2707
borewell_1,2020,8,30,38.63,15.0,15.0,15.0,31.9,13.0827,80.2707
borewell_1,2020,8,31,17.9,15.0,15.0,15.0,24.0,13.0827,80.2707
borewell_1,2020,9,1,14.53,15.0,15.0,15.0,30.6,13.0827,80.2707
borewell_1,2020,9,2,30.38,15.0,15.0,15.0,28.0,13.0827,80.2707
borewell_1,2020,9,3,33.72,15.0,15.0,15.0,32.6,13.0827,80.2707
borewell_1,2020,9,4,26.13,15.0,15.0,15.0,27.6,13.0827,80.2707
borewell_1,2020,9,5,10.22,15.0,15.0,15.0,29.7,13.0827,80.2707
borewell_1,2020,9,6,27.06,15.0,15.0,15.0,31.5,13.0827,80.2707
borewell_1,2020,9,7,38.76,15.0,15.0,15.0,32.6,13.0827,80.2707
borewell_1,2020,9,8,21.75,15.0,15.0,15.0,26.4,13.0827,80.2707
borewell_1,2020,9,9,5.56,15.0,15.0,15.0,29.0,13.0827,80.2707
borewell_1,2020,9,10,9.52,15.0,15.0,15.0,28.6,13.0827,80.2707
borewell_1,2020,9,11,22.1,15.0,15.0,15.0,28.0,13.0827,80.2707
borewell_1,2020,9,12,6.38,15.0,15.0,15.0,35.3,13.0827,80.2707
borewell_1,2020,9,13,17.49,15.0,15.0,15.0,31.2,13.0827,80.2707
borewell_1,2020,9,14,37.09,15.0,15.0,15.0,26.2,13.0827,80.2707
borewell_1,2020,9,15,37.67,15.0,15.0,15.0,32.8,13.0827,80.2707
borewell_1,2020,9,16,18.15,15.0,15.0,15.0,36.0,13.0827,80.2707
borewell_1,2020,9,17,26.25,15.0,15.0,15.0,33.1,13.0827,80.2707
borewell_1,2020,9,18,5.34,15.0,15.0,15.0,25.4,13.0827,80.2707
borewell_1,2020,9,19,38.92,15.0,15.0,15.0,28.5,13.0827,80.2707
borewell_1,2020,9,20,26.64,15.0,15.0,15.0,33.8,13.0827,80.2707
borewell_1,2020,9,21,37.43,15.0,15.0,15.0,27.9,13.0827,80.2707
borewell_1,2020,9,22,25.4,15.0,15.0,15.0,31.3,13.0827,80.2707
borewell_1,2020,9,23,13.48,15.0,15.0,15.0,32.3,13.0827,80.2707
borewell_1,2020,9,24,13.02,15.0,15.0,15.0,27.2,13.0827,80.2707
borewell_1,2020,9,25,17.89,15.0,15.0,15.0,29.8,13.0827,80.2707
borewell_1,2020,9,26,14.7,15.0,15.0,15.0,24.0,13.0827,80.2707
borewell_1,2020,9,27,29.59,15.0,15.0,15.0,26.9,13.0827,80.2707
borewell_1,2020,9,28,36.24,15.0,15.0,15.0,29.2,13.0827,80.2707
borewell_1,2020,9,29,11.26,15.0,15.0,15.0,26.3,13.0827,80.2707
borewell_1,2020,9,30,36.75,15.0,15.0,15.0,34.9,13.0827,80.2707
borewell_1,2020,10,1,12.07,15.0,15.0,15.0,25.7,13.0827,80.2707
borewell_1,2020,10,2,3.76,15.0,15.0,15.0,28.7,13.0827,80.2707
borewell_1,2020,10,3,5.82,15.0,15.0,15.0,30.4,13.0827,80.2707
borewell_1,2020,10,4,13.84,15.0,15.0,15.0,34.3,13.0827,80.2707
borewell_1,2020,10,5,3.61,15.0,15.0,15.0,25.7,13.0827,80.2707
borewell_1,2020,10,6,2.08,14.993,15.0,15.0,33.5,13.0827,80.2707
borewell_1,2020,10,7,7.6,15.0,14.993,15.0,30.0,13.0827,80.2707
borewell_1,2020,10,8,5.25,15.0,15.0,15.0,27.1,13.0827,80.2707
borewell_1,2020,10,9,3.34,15.0,15.0,15.0,31.4,13.0827,80.2707
borewell_1,2020,10,10,7.1,15.0,15.0,15.0,30.6,13.0827,80.2707
borewell_1,2020,10,11,8.47,15.0,15.0,15.0,28.2,13.0827,80.2707
borewell_1,2020,10,12,5.8,15.0,15.0,15.0,30.2,13.0827,80.2707
borewell_1,2020,10,13,12.15,15.0,15.0,14.993,28.8,13.0827,80.2707
borewell_1,2020,10,14,14.42,15.0,15.0,15.0,30.3,13.0827,80.2707
borewell_1,2020,10,15,4.02,15.0,15.0,15.0,32.0,13.0827,80.2707
borewell_1,2020,10,16,11.54,15.0,15.0,15.0,34.8,13.0827,80.2707
borewell_1,2020,10,17,3.71,15.0,15.0,15.0,26.3,13.0827,80.2707
borewell_1,2020,10,18,13.18,15.0,15.0,15.0,36.0,13.0827,80.2707
borewell_1,2020,10,19,7.91,15.0,15.0,15.0,24.1,13.0827,80.2707
borewell_1,2020,10,20,5.19,15.0,15.0,15.0,29.5,13.0827,80.2707
borewell_1,2020,10,21,11.09,15.0,15.0,15.0,31.8,13.0827,80.2707
borewell_1,2020,10,22,7.85,15.0,15.0,15.0,30.8,13.0827,80.2707
borewell_1,2020,10,23,4.53,15.0,15.0,15.0,28.1,13.0827,80.2707
borewell_1,2020,10,24,11.48,15.0,15.0,15.0,29.4,13.0827,80.2707
borewell_1,2020,10,25,3.98,15.0,15.0,15.0,28.5,13.0827,80.2707
borewell_1,2020,10,26,2.88,15.0,15.0,15.0,28.2,13.0827,80.2707
borewell_1,2020,10,27,12.3,15.0,15.0,15.0,32.5,13.0827,80.2707
borewell_1,2020,10,28,8.2,15.0,15.0,15.0,31.1,13.0827,80.2707
borewell_1,2020,10,29,12.89,15.0,15.0,15.0,27.9,13.0827,80.2707
borewell_1,2020,10,30,2.19,14.997,15.0,15.0,32.7,13.0827,80.2707
borewell_1,2020,10,31,6.62,15.0,14.997,15.0,30.9,13.0827,80.2707
borewell_1,2020,11,1,12.04,15.0,15.0,15.0,32.4,13.0827,80.2707
borewell_1,2020,11,2,3.09,15.0,15.0,15.0,31.9,13.0827,80.2707
borewell_1,2020,11,3,12.37,15.0,15.0,15.0,27.5,13.0827,80.2707
borewell_1,2020,11,4,2.0,14.999,15.0,15.0,28.3,13.0827,80.2707
borewell_1,2020,11,5,2.56,15.0,14.999,15.0,32.2,13.0827,80.2707
borewell_1,2020,11,6,9.77,15.0,15.0,14.997,31.8,13.0827,80.2707
borewell_1,2020,11,7,10.21,15.0,15.0,15.0,29.9,13.0827,80.2707
borewell_1,2020,11,8,10.72,15.0,15.0,15.0,30.4,13.0827,80.2707
borewell_1,2020,11,9,12.82,15.0,15.0,15.0,33.8,13.0827,80.2707
borewell_1,2020,11,10,6.21,15.0,15.0,15.0,28.2,13.0827,80.2707
borewell_1,2020,11,11,4.02,15.0,15.0,14.999,31.6,13.0827,80.2707
borewell_1,2020,11,12,11.06,15.0,15.0,15.0,29.4,13.0827,80.2707
borewell_1,2020,11,13,13.38,15.0,15.0,15.0,29.3,13.0827,80.2707
borewell_1,2020,11,14,3.85,15.0,15.0,15.0,33.3,13.0827,80.2707
borewell_1,2020,11,15,7.07,15.0,15.0,15.0,32.5,13.0827,80.2707
borewell_1,2020,11,16,11.21,15.0,15.0,15.0,32.4,13.0827,80.2707
borewell_1,2020,11,17,2.75,15.0,15.0,15.0,33.9,13.0827,80.2707
borewell_1,2020,11,18,12.48,15.0,15.0,15.0,30.1,13.0827,80.2707
borewell_1,2020,11,19,6.44,15.0,15.0,15.0,32.0,13.0827,80.2707
borewell_1,2020,11,20,10.05,15.0,15.0,15.0,29.1,13.0827,80.2707
borewell_1,2020,11,21,7.84,15.0,15.0,15.0,31.0,13.0827,80.2707
borewell_1,2020,11,22,2.01,15.0,15.0,15.0,29.6,13.0827,80.2707
borewell_1,2020,11,23,9.36,15.0,15.0,15.0,30.3,13.0827,80.2707
borewell_1,2020,11,24,12.4,15.0,15.0,15.0,31.8,13.0827,80.2707
